Index,Sales
0,1662
1,6812
2,1258
3,5564
4,1971
5,1925
6,1510
7,5750
8,9155
9,5962
10,5702
11,8950
12,8354
13,5654
14,8054
15,6873
16,8673
17,5489
18,6006
19,7777
20,9251
21,1114
22,6843
23,5398
24,8520
25,8812
26,1210
27,7780
28,7936
29,7216
30,6106
31,6846
32,8881
33,8547
34,7051
35,1983
36,7152
37,7077
38,9006
39,9046
40,6982
41,5628
42,6717
43,5254
44,7437
45,2524
46,6611
47,5611
48,6320
49,7975
50,8580
51,8977
52,1610
53,1562
54,7067
55,6042
56,1087
57,5532
58,1040
59,5672
60,8266
61,5441
62,7428
63,9073
64,9755
65,8141
66,1822
67,7339
68,8237
69,8645
70,6938
71,8237
72,1322
73,9015
74,6981
75,5180
76,949
77,7193
78,5468
79,7914
80,6311
81,5941
82,6599
83,7593
84,8516
85,5271
86,7797
87,5967
88,6103
89,8306
90,8509
91,7963
92,8607
93,8886
94,6805
95,5184
96,7867
97,6690
98,7471
99,7284
100,9638
101,6969
102,9260
103,8177
104,7086
105,6476
106,5537
107,5275
108,6412
109,8703
110,6211
111,6037
112,5957
113,1162
114,6442
115,5580
116,7456
117,8442
118,5948
119,7544
120,7841
121,8977
122,8947
123,1178
124,6612
125,5366
126,7563
127,7182
128,7146
129,7430
130,6199
131,5137
132,1488
133,5607
134,997
135,6503
136,8785
137,6681
138,7502
139,8081
140,1866
141,901
142,8794
143,1226
144,5318
145,1808
146,5350
147,6707
148,5736
149,5227
150,7702
151,9326
152,8399
153,5414
154,6317
155,7684
156,5871
157,5041
158,7289
159,1858
160,7057
161,8029
162,1608
163,8333
164,7771
165,8511
166,9385
167,8059
168,1424
169,7427
170,7933
171,7175
172,6687
173,8150
174,8636
175,9191
176,7516
177,7659
178,5654
179,7060
180,7797
181,7896
182,6337
183,1728
184,8211
185,9268
186,1467
187,1440
188,8147
189,7407
190,6241
191,6350
192,8821
193,1349
194,1253
195,6065
196,8917
197,1392
198,8275
199,5597
200,6397
201,5811
202,1135
203,5516
204,1301
205,5089
206,7689
207,8890
208,5977
209,1328
210,5950
211,9164
212,8893
213,6327
214,6242
215,1376
216,7867
217,7807
218,9287
219,1044
220,5462
221,6473
222,8898
223,8537
224,1183
225,8424
226,6347
227,5484
228,8715
229,6133
230,3689
231,1397
232,5302
233,5393
234,8769
235,8676
236,8907
237,5672
238,6435
239,6776
240,8158
241,1274
242,5829
243,6569
244,7872
245,1535
246,6407
247,7552
248,1514
249,6037
250,6027
251,8167
252,7711
253,8451
254,8072
255,5763
256,6697
257,8839
258,8005
259,6123
260,8528
261,9085
262,6782
263,5657
264,7421
265,8607
266,5459
267,7566
268,6072
269,8303
270,8242
271,5323
272,1471
273,7332
274,4567
275,7556
276,5400
277,8091
278,6486
279,459
280,363
281,577
282,5207
283,4873
284,6376
285,4685
286,668
287,6177
288,4290
289,6856
290,7137
291,7348
292,102
293,5677
294,8217
295,7134
296,7111
297,8956
298,7534
299,4594
300,7015
301,5281
302,7273
303,8839
304,5443
305,7729
306,4242
307,7507
308,2890
309,7116
310,6761
311,5012
312,8591
313,4456
314,7874
315,8013
316,8109
317,1067
318,7718
319,7904
320,1009
321,6533
322,7755
323,4503
324,5770
325,6353
326,4660
327,7177
328,5613
329,5889
330,7335
331,1023
332,241
333,7643
334,5882
335,6252
336,316
337,6140
338,811
339,6170
340,5812
341,6183
342,8183
343,7207
344,7351
345,863
346,5746
347,4717
348,810
349,716
350,4813
351,8365
352,5307
353,6394
354,8125
355,7255
356,4663
357,6391
358,4765
359,8469
360,5412
361,6703
362,5030
363,4856
364,198
365,8148
366,7721
367,384
368,529
369,5539
370,7042
371,380
372,7809
373,4733
374,6672
375,6006
376,8179
377,8099
378,5704
379,6116
380,7739
381,6629
382,4829
383,6608
384,4520
385,4476
386,454
387,4856
388,4472
389,7986
390,6622
391,7970
392,550
393,5551
394,1172
395,5813
396,5266
397,5151
398,7467
399,5795
400,7164
401,6999
402,598
403,8152
404,7481
405,7504
406,8356
407,6965
408,4937
409,6794
410,4669
411,411
412,6044
413,4615
414,7847
415,8088
416,5334
417,7711
418,5169
419,5238
420,7097
421,337
422,8495
423,4551
424,6259
425,150
426,6631
427,6869
428,8207
429,6767
430,4738
431,6047
432,4690
433,6764
434,6746
435,5135
436,7705
437,7102
438,7609
439,5598
440,5304
441,6165
442,4964
443,6021
444,6885
445,427
446,4642
447,689
448,673
449,6615
450,711
451,1126
452,6417
453,8587
454,7851
455,5651
456,6485
457,7600
458,8274
459,7385
460,7239
461,6903
462,5800
463,7979
464,7260
465,593
466,246
467,8094
468,5324
469,6182
470,8424
471,5875
472,1059
473,7995
474,764
475,8221
476,8075
477,5055
478,6860
479,6978
480,5519
481,4799
482,6490
483,4808
484,5060
485,6732
486,502
487,5505
488,6981
489,7625
490,7412
491,641
492,7877
493,8349
494,523
495,5521
496,7369
497,4873
498,7439
499,8040
500,1725
501,5442
502,4951
503,4524
504,737
505,475
506,289
507,5376
508,7837
509,8247
510,7443
511,5142
512,5674
513,7359
514,5983
515,4859
516,8461
517,4386
518,6890
519,2350
520,4338
521,5512
522,5229
523,5908
524,4381
525,5636
526,625
527,6535
528,5425
529,5072
530,7477
531,1184
532,6245
533,929
534,6278
535,5149
536,4903
537,7230
538,6540
539,4599
540,7782
541,7813
542,7073
543,4429
544,6261
545,5891
546,5243
547,4781
548,7780
549,5431
550,940
551,8006
552,4775
553,6113
554,604
555,8471
556,5928
557,4818
558,726
559,7340
560,5531
561,4884
562,4744
563,5393
564,6037
565,5636
566,8037
567,7963
568,8299
569,7663
570,5097
571,7114
572,5775
573,6394
574,6406
575,5402
576,1350
577,8194
578,5736
579,6271
580,8061
581,5296
582,8648
583,1247
584,7849
585,7358
586,6999
587,374
588,5127
589,4941
590,7018
591,6577
592,7935
593,801
594,1035
595,7189
596,635
597,7297
598,5236
599,5970
600,6364
601,7929
602,961
603,6618
604,7369
605,5901
606,6024
607,6855
608,817
609,4696
610,8333
611,8323
612,1408
613,9180
614,4653
615,8128
616,7566
617,7431
618,4962
619,913
620,7084
621,4989
622,6115
623,5624
624,7484
625,1291
626,5490
627,7667
628,7936
629,6832
630,678
631,7321
632,8210
633,4909
634,7479
635,7945
636,7583
637,935
638,465
639,8372
640,6991
641,5254
642,8312
643,6852
644,4679
645,5175
646,5023
647,5375
648,4605
649,8246
650,5279
651,7731
652,1233
653,7876
654,7109
655,5462
656,5743
657,6485
658,5161
659,7196
660,7454
661,8498
662,4466
663,513
664,987
665,6298
666,2574
667,4893
668,5467
669,4700
670,470
671,4727
672,6882
673,7728
674,6106
675,5548
676,7335
677,7506
678,7127
679,8431
680,5097
681,7388
682,4514
683,9063
684,7701
685,326
686,897
687,1087
688,5667
689,8315
690,6759
691,5528
692,699
693,5032
694,4887
695,8616
696,8815
697,1283
698,1396
699,8441
700,8237
701,7867
702,4866
703,5083
704,560
705,7953
706,8685
707,6512
708,8101
709,3114
710,7758
711,7705
712,1949
713,8071
714,6927
715,6389
716,5832
717,892
718,5053
719,8402
720,6407
721,6502
722,5666
723,4791
724,6714
725,4839
726,6572
727,8098
728,5373
729,5284
730,774
731,8445
732,5860
733,4562
734,4957
735,7739
736,6268
737,5080
738,5994
739,7572
740,7559
741,5005
742,6230
743,8589
744,7223
745,8376
746,8810
747,5188
748,4914
749,6142
750,5462
751,4823
752,8264
753,8318
754,7136
755,8407
756,1153
757,865
758,7942
759,6483
760,822
761,5762
762,8580
763,6970
764,587
765,7575
766,8033
767,8075
768,6476
769,8219
770,608
771,7593
772,6202
773,683
774,5822
775,7205
776,6019
777,6988
778,5649
779,6757
780,5772
781,5837
782,651
783,7202
784,5745
785,5452
786,6340
787,422
788,6132
789,6641
790,5037
791,8306
792,6600
793,7401
794,8693
795,5366
796,8676
797,6942
798,5558
799,4610
800,6853
801,6207
802,6710
803,753
804,7361
805,5080
806,6764
807,540
808,7691
809,7497
810,7080
811,5898
812,6846
813,7824
814,849
815,7222
816,5600
